id,Date Created,Date Completed,Last Modified,node,slot,ssu,rack,ru_low,ru_high
420,4/4/2019 12:55 AM,4/22/2019 9:19 AM,4/24/2019 2:02 AM,55,80,25,4,6,10
421,4/2/2019 12:48 PM,4/2/2019 12:50 PM,4/2/2019 1:50 PM,26,1,11,2,16,20
427,3/9/2019 10:58 AM,4/22/2019 9:20 AM,4/6/2021 2:01 AM,105,65,50,7,11,15
428,3/3/2019 11:04 AM,4/19/2019 12:56 PM,2/13/2020 2:02 AM,76,35,36,5,21,25
430,2/16/2019 11:15 AM,4/19/2019 12:32 PM,4/27/2019 2:02 AM,64,72,30,4,31,35
431,2/13/2019 12:14 PM,4/19/2019 11:43 AM,10/9/2019 2:02 AM,133,83,64,13,1,5
433,2/7/2019 1:17 PM,8/7/2019 1:56 PM,8/7/2019 1:56 PM,-1,-1,-1,-1,-1,-1
438,1/25/2019 7:06 AM,4/19/2019 10:42 AM,5/1/2019 2:01 AM,31,38,13,2,26,30
439,1/3/2019 9:23 AM,1/25/2019 11:22 AM,4/4/2019 2:05 AM,116,25,56,8,1,5
440,1/2/2019 8:13 AM,1/25/2019 11:04 AM,4/4/2019 2:06 AM,62,11,29,4,26,30
441,12/28/2018 8:02 AM,1/25/2019 10:42 AM,4/4/2019 2:06 AM,171,34,83,15,16,20
442,12/24/2018 2:15 PM,1/25/2019 10:10 AM,4/4/2019 2:03 AM,212,9,104,18,1,5
445,12/10/2018 7:54 AM,1/25/2019 9:32 AM,4/4/2019 2:02 AM,73,5,34,5,11,15
446,12/10/2018 7:49 AM,1/25/2019 9:14 AM,4/4/2019 2:02 AM,61,78,28,4,21,25
447,12/10/2018 7:43 AM,1/25/2019 8:40 AM,4/4/2019 2:02 AM,202,71,99,17,16,20
448,11/16/2018 11:21 PM,12/4/2018 1:54 PM,1/28/2021 2:01 AM,209,61,102,17,31,35
449,11/14/2018 7:06 AM,12/4/2018 1:08 PM,12/15/2018 2:01 AM,147,18,71,13,36,40
450,11/12/2018 3:08 PM,12/4/2018 1:36 PM,12/15/2018 2:01 AM,25,64,10,2,11,15
451,11/7/2018 7:26 AM,12/4/2018 11:59 AM,12/15/2018 2:01 AM,66,63,31,4,36,40
452,10/30/2018 7:54 AM,12/4/2018 11:35 AM,12/15/2018 2:01 AM,221,54,108,18,21,25
